entry_idx,exit_idx,entry,exit,direction,reason,pnl_usdt,balance_after,entry_date,exit_date
476,477,0.11112,0.11100887999999999,long,SL_HIT,-0.1500000000000042,4.4250000000002485,2025-10-29 21:47:00,2025-10-29 21:48:00
483,483,0.11154,0.11142846000000001,long,IMMEDIATE_SL_HIT,-0.14999999999999553,4.275000000000253,2025-10-29 21:54:00,2025-10-29 21:54:00
489,489,0.11155,0.11143845,long,IMMEDIATE_SL_HIT,-0.1500000000000013,4.125000000000251,2025-10-29 22:00:00,2025-10-29 22:00:00
491,491,0.11127,0.11115873,long,IMMEDIATE_SL_HIT,-0.14999999999999775,3.9750000000002537,2025-10-29 22:02:00,2025-10-29 22:02:00
504,507,0.11103,0.11114102999999999,short,SL_HIT,-0.1499999999999893,3.8250000000002644,2025-10-29 22:15:00,2025-10-29 22:18:00
521,524,0.11091,0.11102090999999999,short,SL_HIT,-0.1499999999999945,3.67500000000027,2025-10-29 22:32:00,2025-10-29 22:35:00
532,532,0.11129,0.11151258,long,IMMEDIATE_TP_HIT,0.07500000000000001,3.75000000000027,2025-10-29 22:43:00,2025-10-29 22:43:00
534,535,0.11134,0.11122866,long,SL_HIT,-0.150000000000001,3.600000000000269,2025-10-29 22:45:00,2025-10-29 22:46:00
539,539,0.1111,0.1112111,short,IMMEDIATE_SL_HIT,-0.14999999999999258,3.4500000000002764,2025-10-29 22:50:00,2025-10-29 22:50:00
549,549,0.11098,0.11109097999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998836,3.300000000000288,2025-10-29 23:00:00,2025-10-29 23:00:00
551,552,0.11083,0.11094082999999999,short,SL_HIT,-0.1499999999999948,3.1500000000002935,2025-10-29 23:02:00,2025-10-29 23:03:00
554,554,0.1104,0.11051039999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998825,3.000000000000305,2025-10-29 23:05:00,2025-10-29 23:05:00
562,562,0.10936,0.10914128,short,IMMEDIATE_TP_HIT,0.07500000000000384,3.075000000000309,2025-10-29 23:13:00,2025-10-29 23:13:00
564,565,0.10924,0.10934923999999999,short,SL_HIT,-0.14999999999998812,2.925000000000321,2025-10-29 23:15:00,2025-10-29 23:16:00
575,578,0.10934,0.10912132000000001,short,TP_HIT,0.0749999999999992,3.00000000000032,2025-10-29 23:26:00,2025-10-29 23:29:00
587,587,0.10857,0.10867856999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999197,2.8500000000003283,2025-10-29 23:38:00,2025-10-29 23:38:00
589,589,0.10816,0.10826815999999999,short,IMMEDIATE_SL_HIT,-0.14999999999998764,2.700000000000341,2025-10-29 23:40:00,2025-10-29 23:40:00
600,600,0.1085,0.10860849999999998,short,IMMEDIATE_SL_HIT,-0.1499999999999887,2.550000000000352,2025-10-29 23:51:00,2025-10-29 23:51:00
611,611,0.10974,0.10995948,long,IMMEDIATE_TP_HIT,0.07499999999999596,2.625000000000348,2025-10-30 00:02:00,2025-10-30 00:02:00
613,613,0.11017,0.11005983,long,IMMEDIATE_SL_HIT,-0.15000000000000452,2.475000000000344,2025-10-30 00:04:00,2025-10-30 00:04:00
