entry_idx,exit_idx,entry,exit,direction,reason,pnl_usdt,balance_after,entry_date,exit_date
562,564,0.2973,0.2967054,short,TP_HIT,0.07500000000000018,1.7250000000002155,2025-10-29 23:13:00,2025-10-29 23:15:00
574,574,0.297,0.297297,short,IMMEDIATE_SL_HIT,-0.1499999999999979,1.5750000000002176,2025-10-29 23:25:00,2025-10-29 23:25:00
581,581,0.2953,0.29559529999999995,short,IMMEDIATE_SL_HIT,-0.14999999999998548,1.425000000000232,2025-10-29 23:32:00,2025-10-29 23:32:00
587,587,0.2937,0.29399369999999997,short,IMMEDIATE_SL_HIT,-0.1499999999999878,1.2750000000002442,2025-10-29 23:38:00,2025-10-29 23:38:00
589,589,0.2914,0.29169139999999993,short,IMMEDIATE_SL_HIT,-0.149999999999985,1.1250000000002591,2025-10-29 23:40:00,2025-10-29 23:40:00
591,591,0.291,0.29129099999999997,short,IMMEDIATE_SL_HIT,-0.14999999999999636,0.9750000000002628,2025-10-29 23:42:00,2025-10-29 23:42:00
612,612,0.2914,0.29169139999999993,short,IMMEDIATE_SL_HIT,-0.149999999999985,0.8250000000002777,2025-10-30 00:03:00,2025-10-30 00:03:00
614,614,0.2901,0.2903901,short,IMMEDIATE_SL_HIT,-0.14999999999998959,0.6750000000002881,2025-10-30 00:05:00,2025-10-30 00:05:00
616,616,0.2882,0.28762360000000003,short,IMMEDIATE_TP_HIT,0.07499999999999399,0.7500000000002821,2025-10-30 00:07:00,2025-10-30 00:07:00
618,618,0.2872,0.2874872,short,IMMEDIATE_SL_HIT,-0.14999999999999672,0.6000000000002854,2025-10-30 00:09:00,2025-10-30 00:09:00
630,630,0.2924,0.29210759999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000668,0.45000000000027873,2025-10-30 00:21:00,2025-10-30 00:21:00
632,632,0.2926,0.29230740000000005,long,IMMEDIATE_SL_HIT,-0.14999999999999392,0.3000000000002848,2025-10-30 00:23:00,2025-10-30 00:23:00
634,634,0.2927,0.29240730000000004,long,IMMEDIATE_SL_HIT,-0.14999999999999464,0.15000000000029018,2025-10-30 00:25:00,2025-10-30 00:25:00
637,637,0.2906,0.2908906,short,IMMEDIATE_SL_HIT,-0.14999999999999336,2.968181256335356e-13,2025-10-30 00:28:00,2025-10-30 00:28:00
639,639,0.2911,0.29051780000000005,short,IMMEDIATE_TP_HIT,0.07499999999999411,0.07500000000029093,2025-10-30 00:30:00,2025-10-30 00:30:00
646,646,0.292,0.29170799999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000374,-0.07499999999971281,2025-10-30 00:37:00,2025-10-30 00:37:00
650,650,0.2899,0.29018989999999995,short,IMMEDIATE_SL_HIT,-0.14999999999998814,-0.22499999999970094,2025-10-30 00:41:00,2025-10-30 00:41:00
653,653,0.2926,0.29230740000000005,long,IMMEDIATE_SL_HIT,-0.14999999999999392,-0.37499999999969486,2025-10-30 00:44:00,2025-10-30 00:44:00
655,655,0.2918,0.2923836,long,IMMEDIATE_TP_HIT,0.07500000000000448,-0.2999999999996904,2025-10-30 00:46:00,2025-10-30 00:46:00
657,657,0.2928,0.2925072,long,IMMEDIATE_SL_HIT,-0.1499999999999954,-0.44999999999968576,2025-10-30 00:48:00,2025-10-30 00:48:00
674,674,0.2925,0.29279249999999996,short,IMMEDIATE_SL_HIT,-0.1499999999999932,-0.599999999999679,2025-10-30 01:05:00,2025-10-30 01:05:00
679,680,0.2957,0.2954043,long,SL_HIT,-0.15000000000000252,-0.7499999999996816,2025-10-30 01:10:00,2025-10-30 01:11:00
695,695,0.2934,0.29369339999999994,short,IMMEDIATE_SL_HIT,-0.1499999999999856,-0.8999999999996672,2025-10-30 01:26:00,2025-10-30 01:26:00
698,699,0.2928,0.2930928,short,SL_HIT,-0.1499999999999954,-1.0499999999996625,2025-10-30 01:29:00,2025-10-30 01:30:00
701,701,0.2928,0.2930928,short,IMMEDIATE_SL_HIT,-0.1499999999999954,-1.199999999999658,2025-10-30 01:32:00,2025-10-30 01:32:00
704,704,0.2944,0.29410559999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000713,-1.3499999999996652,2025-10-30 01:35:00,2025-10-30 01:35:00
721,721,0.2969,0.2966031,long,IMMEDIATE_SL_HIT,-0.1499999999999972,-1.4999999999996625,2025-10-30 01:52:00,2025-10-30 01:52:00
730,730,0.2947,0.2949947,short,IMMEDIATE_SL_HIT,-0.1499999999999952,-1.6499999999996577,2025-10-30 02:01:00,2025-10-30 02:01:00
741,741,0.2964,0.2961036,long,IMMEDIATE_SL_HIT,-0.14999999999999356,-1.7999999999996512,2025-10-30 02:12:00,2025-10-30 02:12:00
744,745,0.2963,0.2960037,long,SL_HIT,-0.15000000000000688,-1.949999999999658,2025-10-30 02:15:00,2025-10-30 02:16:00
747,747,0.2973,0.2978946,long,IMMEDIATE_TP_HIT,0.07500000000000018,-1.8749999999996578,2025-10-30 02:18:00,2025-10-30 02:18:00
749,749,0.2981,0.29780189999999995,long,IMMEDIATE_SL_HIT,-0.15000000000000588,-2.0249999999996637,2025-10-30 02:20:00,2025-10-30 02:20:00
751,752,0.2988,0.2993976,long,TP_HIT,0.07499999999999395,-1.9499999999996698,2025-10-30 02:22:00,2025-10-30 02:23:00
754,754,0.3005,0.301101,long,IMMEDIATE_TP_HIT,0.07500000000000454,-1.8749999999996652,2025-10-30 02:25:00,2025-10-30 02:25:00
756,756,0.3019,0.3015981,long,IMMEDIATE_SL_HIT,-0.15000000000000538,-2.0249999999996704,2025-10-30 02:27:00,2025-10-30 02:27:00
758,758,0.3022,0.30280440000000003,long,IMMEDIATE_TP_HIT,0.0750000000000012,-1.949999999999669,2025-10-30 02:29:00,2025-10-30 02:29:00
760,760,0.3042,0.30389580000000005,long,IMMEDIATE_SL_HIT,-0.14999999999999425,-2.0999999999996635,2025-10-30 02:31:00,2025-10-30 02:31:00
762,762,0.3042,0.30389580000000005,long,IMMEDIATE_SL_HIT,-0.14999999999999425,-2.2499999999996576,2025-10-30 02:33:00,2025-10-30 02:33:00
764,764,0.3061,0.3057939,long,IMMEDIATE_SL_HIT,-0.14999999999999408,-2.3999999999996517,2025-10-30 02:35:00,2025-10-30 02:35:00
789,789,0.3086,0.3082914,long,IMMEDIATE_SL_HIT,-0.1499999999999981,-2.54999999999965,2025-10-30 03:00:00,2025-10-30 03:00:00
799,799,0.3078,0.3074922,long,IMMEDIATE_SL_HIT,-0.15000000000000602,-2.699999999999656,2025-10-30 03:10:00,2025-10-30 03:10:00
818,818,0.3052,0.3055052,short,IMMEDIATE_SL_HIT,-0.1499999999999877,-2.8499999999996435,2025-10-30 03:29:00,2025-10-30 03:29:00
831,831,0.3021,0.30240209999999995,short,IMMEDIATE_SL_HIT,-0.14999999999999303,-2.9999999999996367,2025-10-30 03:42:00,2025-10-30 03:42:00
833,834,0.3022,0.3015956,short,TP_HIT,0.0750000000000012,-2.9249999999996357,2025-10-30 03:44:00,2025-10-30 03:45:00
837,837,0.3011,0.3014010999999999,short,IMMEDIATE_SL_HIT,-0.1499999999999858,-3.0749999999996214,2025-10-30 03:48:00,2025-10-30 03:48:00
841,841,0.3004,0.3007004,short,IMMEDIATE_SL_HIT,-0.14999999999999464,-3.224999999999616,2025-10-30 03:52:00,2025-10-30 03:52:00
854,854,0.2995,0.298901,short,IMMEDIATE_TP_HIT,0.07500000000000406,-3.1499999999996118,2025-10-30 04:05:00,2025-10-30 04:05:00
857,857,0.2981,0.2975038,short,IMMEDIATE_TP_HIT,0.07499999999999779,-3.074999999999614,2025-10-30 04:08:00,2025-10-30 04:08:00
859,859,0.2972,0.2966056,short,IMMEDIATE_TP_HIT,0.07499999999999869,-2.999999999999615,2025-10-30 04:10:00,2025-10-30 04:10:00
861,861,0.2949,0.2943102,short,IMMEDIATE_TP_HIT,0.0749999999999933,-2.9249999999996215,2025-10-30 04:12:00,2025-10-30 04:12:00
863,863,0.2945,0.293911,short,IMMEDIATE_TP_HIT,0.0750000000000016,-2.84999999999962,2025-10-30 04:14:00,2025-10-30 04:14:00
865,865,0.2927,0.2929927,short,IMMEDIATE_SL_HIT,-0.14999999999999464,-2.9999999999996145,2025-10-30 04:16:00,2025-10-30 04:16:00
874,874,0.2916,0.2918916,short,IMMEDIATE_SL_HIT,-0.14999999999998648,-3.149999999999601,2025-10-30 04:25:00,2025-10-30 04:25:00
876,876,0.2892,0.28862160000000003,short,IMMEDIATE_TP_HIT,0.07499999999999453,-3.0749999999996067,2025-10-30 04:27:00,2025-10-30 04:27:00
878,878,0.2838,0.28408379999999994,short,IMMEDIATE_SL_HIT,-0.14999999999998553,-3.2249999999995924,2025-10-30 04:29:00,2025-10-30 04:29:00
880,880,0.2855,0.28578549999999997,short,IMMEDIATE_SL_HIT,-0.14999999999999847,-3.374999999999591,2025-10-30 04:31:00,2025-10-30 04:31:00
882,882,0.2842,0.28448419999999996,short,IMMEDIATE_SL_HIT,-0.14999999999998856,-3.5249999999995794,2025-10-30 04:33:00,2025-10-30 04:33:00
886,886,0.2945,0.2942055,long,IMMEDIATE_SL_HIT,-0.14999999999999372,-3.674999999999573,2025-10-30 04:37:00,2025-10-30 04:37:00
888,888,0.2953,0.2950047,long,IMMEDIATE_SL_HIT,-0.14999999999999958,-3.8249999999995725,2025-10-30 04:39:00,2025-10-30 04:39:00
896,896,0.2975,0.2972025,long,IMMEDIATE_SL_HIT,-0.15000000000000155,-3.974999999999574,2025-10-30 04:47:00,2025-10-30 04:47:00
907,907,0.2925,0.29279249999999996,short,IMMEDIATE_SL_HIT,-0.1499999999999932,-4.1249999999995675,2025-10-30 04:58:00,2025-10-30 04:58:00
909,909,0.29,0.28941999999999996,short,IMMEDIATE_TP_HIT,0.07500000000000648,-4.049999999999561,2025-10-30 05:00:00,2025-10-30 05:00:00
911,911,0.2899,0.29018989999999995,short,IMMEDIATE_SL_HIT,-0.14999999999998814,-4.199999999999549,2025-10-30 05:02:00,2025-10-30 05:02:00
918,918,0.2898,0.29008979999999995,short,IMMEDIATE_SL_HIT,-0.14999999999998737,-4.349999999999536,2025-10-30 05:09:00,2025-10-30 05:09:00
930,930,0.2887,0.2881226,short,IMMEDIATE_TP_HIT,0.07500000000000145,-4.274999999999535,2025-10-30 05:21:00,2025-10-30 05:21:00
950,950,0.294,0.29370599999999997,long,IMMEDIATE_SL_HIT,-0.1500000000000042,-4.424999999999539,2025-10-30 05:41:00,2025-10-30 05:41:00
952,952,0.2942,0.2947884,long,IMMEDIATE_TP_HIT,0.07499999999999718,-4.349999999999541,2025-10-30 05:43:00,2025-10-30 05:43:00
954,954,0.2953,0.2950047,long,IMMEDIATE_SL_HIT,-0.14999999999999958,-4.499999999999541,2025-10-30 05:45:00,2025-10-30 05:45:00
956,956,0.296,0.29570399999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000469,-4.649999999999546,2025-10-30 05:47:00,2025-10-30 05:47:00
964,964,0.2966,0.2963034,long,IMMEDIATE_SL_HIT,-0.14999999999999503,-4.799999999999541,2025-10-30 05:55:00,2025-10-30 05:55:00
977,977,0.2932,0.2934932,short,IMMEDIATE_SL_HIT,-0.14999999999999836,-4.949999999999539,2025-10-30 06:08:00,2025-10-30 06:08:00
986,987,0.2907,0.2909907,short,SL_HIT,-0.14999999999999408,-5.099999999999533,2025-10-30 06:17:00,2025-10-30 06:18:00
996,996,0.2901,0.2903901,short,IMMEDIATE_SL_HIT,-0.14999999999998959,-5.249999999999523,2025-10-30 06:27:00,2025-10-30 06:27:00
1003,1003,0.2923,0.2920077,long,IMMEDIATE_SL_HIT,-0.1500000000000059,-5.399999999999529,2025-10-30 06:34:00,2025-10-30 06:34:00
1006,1006,0.2924,0.29210759999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000668,-5.549999999999535,2025-10-30 06:37:00,2025-10-30 06:37:00
1008,1008,0.2907,0.2909907,short,IMMEDIATE_SL_HIT,-0.14999999999999408,-5.699999999999529,2025-10-30 06:39:00,2025-10-30 06:39:00
1010,1010,0.2903,0.29059029999999997,short,IMMEDIATE_SL_HIT,-0.14999999999999108,-5.849999999999521,2025-10-30 06:41:00,2025-10-30 06:41:00
1014,1015,0.2946,0.2943,long,SL_GAP,-0.1513747454175069,-6.001374745417028,2025-10-30 06:45:00,2025-10-30 06:46:00
1018,1019,0.295,0.294705,long,SL_HIT,-0.14999999999999739,-6.151374745417026,2025-10-30 06:49:00,2025-10-30 06:50:00
1025,1025,0.292,0.29229199999999994,short,IMMEDIATE_SL_HIT,-0.14999999999998948,-6.301374745417015,2025-10-30 06:56:00,2025-10-30 06:56:00
1027,1027,0.2912,0.2914912,short,IMMEDIATE_SL_HIT,-0.1499999999999978,-6.451374745417013,2025-10-30 06:58:00,2025-10-30 06:58:00
1029,1029,0.2908,0.2910908,short,IMMEDIATE_SL_HIT,-0.14999999999999486,-6.601374745417008,2025-10-30 07:00:00,2025-10-30 07:00:00
1037,1038,0.2923,0.2920077,long,SL_HIT,-0.1500000000000059,-6.751374745417014,2025-10-30 07:08:00,2025-10-30 07:09:00
1040,1040,0.2929,0.2934858,long,IMMEDIATE_TP_HIT,0.07500000000000644,-6.676374745417007,2025-10-30 07:11:00,2025-10-30 07:11:00
1042,1042,0.2957,0.29629140000000004,long,IMMEDIATE_TP_HIT,0.07500000000000498,-6.601374745417003,2025-10-30 07:13:00,2025-10-30 07:13:00
